A, [a]
M, [m]
V, [v]
B, [b]
N, [n]
W, [w]
D, [d]
O, [o]
Y, [j]
E, [e]
P, [p]
gw, [gw]
G, [g]
R, [r~ɾ]
kw, [kw]
I, [i]
S, [s]
K, [k]
T, [t]
L, [l]
U, [u]
