A, [a]
I, [i]
P, [p]
B, [b]
K, [k]
R, [r]
D, [d]
L, [l]
S, [s]
E, [e]
M, [m]
T, [t]
É, [ɪ]
N, [n]
U, [u]
F, [ɸ]
Ng, [ŋ]
W, [w]
G, [g]
O, [o]
Y, [j]
H, [ɸ]
Ó, [ʊ]
