ᮃ, [ɑ]
ᮊ, [ɛ]
ᮦᮊ, [i]
ᮊᮤ, [ɔ]
ᮊᮧ, [u]
ᮊᮥ, [ə]
ᮊᮨ, [ɤ]
ᮊᮩ, k
