a, [a]
k, [k]
rt, [ʈ]
b, [p]
l, [l]
rn, [ɳ]
d, [t]
ly, [l̪]
rl, [ɭ]
dh, [t̪]
m, [m]
t, [t]
e, [e]
n, [n]
th, [t̪]
g, [g]
ng, [ŋ]
ty, [t̪]
h, [h]
ny, [ɲ]
u, [u]
i, [i]
p, [p]
w, [w]
j, [j]
r, [r]
y, [j]
