a, [á/ə]
ai, [ai]
b, [b~β]
h, [p]
w, [w]
e, [é/ɛ́/ə]
au, [au]
c, [s/k]
j, [d͡ʒ~ʒ]
q, [k]
x, [ʃ/ks]
è, [ɛ́]
ei, [ei]
ch, [k]
k, [k]
r, [rː~ɾ]
y, [j]
é, [é]
eu, [eu]
ç, [s]
l, [l]
s, [s~z]
z, [z]
i, [i̭/i]
oi, [oi]
d, [d~ð]
ll, [ʎ]
ss, [s]
o, [ó/ɔ́/u]
ou, [ou]
f, [f]
l·l, [l(ː)]
t,  [t]
ò, [ɔ́]
ieu, [ieu]
g, [g~ɣ/d͡ʒ~ʒ]
m, [m]
tg, [d͡ʒ]
ó, [ó]
uai, [uai]
gu, [g/gw]
n, [n]
tx, [t͡ʃ]
u, [ṷ/u]
gü, [gw]
ny, [ɲ]
v, [b~β]
