А, [a]
Л, [l/ʎ]
Ц, [ʦ/ʨ]
Б, [b]
М, [m]
Ч, [ʧ]
В, [v]
Н, [n/ɲ]
Ш, [ʃ]
Г, [g]
нг, [ŋ]
Щ, [ʆƫʆ]
Д, [d/d̡]
О, [o]
Ъ, [(j)]
Е, [ʲe/je]
П, [p]
Ы, [ɪ]
Ё, [ʲo/jo]
Р, [r/rʲ]
Ь, [ʲ]
Ж, [ʒ]
С, [s/s̡]
Э, [ɛ]
З, [z/z̡]
Т, [t/ƫ]
Ю, [ʲu/ju]
И, [i]
У, [u]
Я, [ʲa/ja]
Й, [j/-ĭ]
Ф, [f]
ä, [æ]
К, [k]
Х, [x]
ə, [ə]
