a, [a]
b, [b]
m, [m]
tt, [tʰ]
e, [e]
c, [k]
n, [n]
ts, [ts]
i, [i]
cc, [kʰ]
ñ, [ɲ]
tss, [tsʰ]
o, [o] 
ch, [ʧ]
p, [p]
v, [v]
u, [i]
cch, [ʧʰ]
pp, [pʰ]
y, [j]
an\â, [ã]
d, [d]
qu, [k]
z, [dz]
en\ê, [ẽ]
dy, [dʲ]
qqu, [kʰ]
’, [ʔ]
in\î, [ĩ]
f, [f]
s, [s]
on\ô, [õ] 
g, [g]
sh, [ʃ]
un\û, [ĩ]
j, [h]
t, [t]
