𐢊, [ħ]
𐢗, [ʕ]
𐢯, [z]
𐢖, [s]
𐢮, [w]
𐢔\𐢕, [n]
𐢞, [t]
𐢭, [h]
𐢓\𐢔, [m]
𐢜\𐢝, [ʃ]
𐢬, [d]
𐢐\𐢒, [l]
𐢛, [r]
𐢪\𐢫, [g]
𐢏\𐢐, [k]
𐢚, [q]
𐢩, [b]
𐢎\𐢍, [j]
𐢙, [sˁ]
𐢨, [ʔ/Ø]
𐢋, [tˁ]
𐢘, [p] 
𐢧, 𐢧
