A, [a]
H, [ɲ]
V, [b]
B, [b]
I, [i]
O, [o]
W, [w]
C, [s/k]
J, [x]
P, [p]
X,  [s/x/ks]
Ch, [ʧi]
K,  [k]
Q, [k]
Y,  [j]
D, [d]
L, [l]
R, [r]
Z, [s]
E, [e]
LL, [ʎ]
S, [s]
F, [f]
M, [m]
T, [t]
G, [x/g]
N, [n]
U, [u]
