a, [a]
b, [b]
kh, [x]
th, [θ]
e, [e]
ch, [ʧ]
kw, [kʷ]
tth, [tθ]
i, [i]
ch’, [ʧ’]
k’,  [k’]
tth’, [tθ’]
o, [o]
d, [d]
l,  [l]
tl, [tɫ]
u, [u]
dr, [ɖ]
ł, [ł]
tl’, [tɫ’]
aa, [aː]
dh, [ð]
m, [m]
tr, [ʈ]
ee, [eː]
ddh, [dð]
n, [n]
tr’, [ʈ’]
ii, [iː]
dj, [ʤ]
nd, [dⁿ]
ts, [ts]
oo, [oː]
dl, [dɮ]
nh, [n̥]
ts’, [ts’]
uu, [uː]
dz, [dz]
nj, [ʤ]
v, [v]
g, [g]
r, [ɻ]
w, [w]
gw, [gʷ]
rh, [ɻ̥]
y, [j]
gh, [ɣ]
s, [s]
z, [z]
ghw, [ɣʷ]
sh, [ʃ]
zh, [ʒ]
h, [h]
shr, [ʂ]
zhr, [ʐ]
j, [ʒ]
t,  [t]
’, [ʔ]
k, [k]
t’, [t’]
