A, [a]
Ẽ, [ẽ]
Gb, [gb]
L, [l]
Ɔɔ, [ɔː]
Uu, [uː]
mb, [mb]
Aa, [aː]
Ẽe, [ẽː]
H, [h]
M, [m]
Ɔ̃, [ɔ̃]
Ũ, [ũ]
mp, [mp]
Ã, [ã]
Ɛ, [ɛ]
I, [i]
N, [n]
Ɔ̃ɔ, [ɔ̃ː]
Ũu, [ũː]
nd, [nd]
Ãa, [ãː]
Ɛɛ, [ɛː]
Ii, [iː]
O, [o]
P, [p]
V, [v]
ng, [ŋg]
B, [b]
Ɛ̃, [ɛ̃]
Ĩ, [ĩ]
Oo, [oː]
R, [ɾ]
W, [w]
nk, [ŋk]
D, [d]
Ɛ̃ɛ, [ɛ̃ː]
Ĩi, [ĩː]
Õ, [õ]
S, [s]
Y, [j]
ns, [ns]
E, [e]
F, [f]
K, [k]
Õo, [õː]
T, [t]
Z, [z]
nt, [nt]
Ee, [eː]
G, [g]
Kp, [kp]
Ɔ, [ɔ]
U, [u ]
gw, [gw]
nz, [nz]
