A, [a]
F, [f]
M, [m]
O, [ɔ]
Ú, [u]
Á, [ə]
G, [g]
Mb, [ᵐb]
Ó, [o]
V, [v]
B, [b]
H, [h]
N, [n]
P, [p]
W, [w]
Ĉ, [ʃ]
I, [ɪ]
Ŋ, [ŋ]
Ᵽ, [ɸ]
Y, [j]
C, [c]
Í, [i]
Ñ, [ɲ]
R, [r]
Z, [z]
D, [d]
J, [ɟ]
Nd, [ⁿd]
S, [s]
E, [ɛ]
K, [k]
Ng, [ᵑg]
T, [t]
É, [e]
L, [l]
Nj, [ⁿɟ]
U, [ʊ]
