А, [a]
З, [z]
С, [s]
Щ, [ɕː/ɕt͡ɕ]
Ӑ, [ə]
И, [i]
Ҫ, [ɕ]
Ъ, [b]
Й, [j]
Т, [t]
Ы, [ɯ]
В, [ʋ]
К,  [k]
У, [u]
Ь, [ʲ]
Г, [g]
Л, [l]
Ӳ, [y]
Э, [e]
Д, [d]
М, [m]
Ф, [f]
Ю, [ju/ʲu]
Е, [ɛ]
Н,  [n]
Х, [χ]
Я, [ja/ʲa]
Ё, [jo/ʲo]
О, [o]
Цц, [ts]
Ӗ, [ɘ]
П, [p]
Ч, [tɕ]
Ж, [ʐ]
Р, [r]
Ш, [ʂ]
