ر, [ r ]
ف, [ f ]
ي, [ j ]
ٌ-,  uŋ]
د, [ d ]
عۤ, [ ŋ ]
و, [ w ]
ـُو,  oː]
خ, [ h ]
ع, [ ʔ ]
ه, [ h ]
ُ-,  ɔ]
ح, [ h ]
ظ, [ s ]
ن,  ɲ]
-ﹴ,  eŋ]
ج,  ʧ]
ط, [ t ]
م, [ m ]
ـِى, [ iː ]
ث, [ s ]
ض, [ t ]
لا, [ la: ]
ِ-,  ɛ]
ت, [ t ]
ص, [ s ]
ل, [ l ]
ً-,  ɛŋ]
ب,  p]
ش, [s; ɕ]
كْب, [ g͡b ]
ـَا, [ aː ]
ا,  ɛː]
س, [ s ]
ك,  g]
َ-,  [ a ]
