A, [eɪkɒ]
K, [kiːkɒ]
T, [tiːkɒ]
B, [biːkɒ]
L, [ɪlkɒ]
W, [dɒbɪjo]
Ch, [ʧiːkɒ]
ɬ, [ɬiːʿkɒ]
Y, [waˑikɒ]
D, [diːkɒ]
M, [ɪmkɒ]
E, [eˑkɒ]
N, [ɪnkɒ]
F, [ɪfkɒ]
O, [oːkɒ]
H, [ʰaˑikɒ]
P, [piːkɒ]
I, [iːkɒ]
S, [ɪs̡kɒ]
