А, [ɑ]
И, [i]
О, [o]
Х̑, [χ]
Б, [b]
І, [i]
П, [p]
Ц, [t͡s]
В, [v]
Й, [j]
Р,  [r]
Ч, [t͡ʃ]
Г, [g]
К, [k]
С, [s]
Ш, [ʃ]
Г̑, [ʁ]
Ҟ, [q]
Т, [t]
Щ, [ʃtʃ]
Д, [ð]
Л, [l]
У, [u]
Ъ, [e]
М, [m]
Ў, [w]
Ы, [j]
Ж, [ʒ]
Н,  [n]
Ф, [f]
Ь, [z]
Ҥ, [ŋ]
Х, [x]
