A, [ɑ]
I, [i]
Q, [q]
Y, [j]
aa, [a~a:]
B, [b]
J, [dʒ]
R, [ɭ]
Z, [z]
ii, [i:]
C, [tʃ]
K, [k]
S, [s]
', [ʔ]
ng, [ŋ]
D, [d]
L, [l]
T, [t]
uu, [u:]
E, [ɛ]
M, [m]
U, [u]
F, [ɸ~p]
N, [n]
V, [v~f]
G, [g]
O, [ɔ]
W, [w]
H, [h]
P, [p]
X, [ħ]
