I,i
Q,q
Y,j
aa,a:
B,b
J,dʒ
Z,z
ii,i:
K,k
S,s
',ʔ
ng,ŋ
D,d
L,l
T,t
uu,u:
E,ɛ
M,m
U,u
F,p
N,n
V,f
G,g
O,ɔ
W,w
H,h
P,p
X,ħ
