अ, [ ə ]
क, [ k ]
ट, [ ʈ ]
प, [ p ]
य, [ j ]
आ, [ a ]
ख, [ kʰ ]
ठ, [ ʈʰ ]
फ, [ pʰ ]
र, [ r ]
इ, [ i ]
ग, [ g ]
ड, [ ɖ ]
ब, [ b ]
ल, [ l ]
ई, [ iː ]
घ, [ gʰ ]
ढ, [ ɖʱ ]
भ, [ bʰ ]
व, [ v ]
उ, [ u ]
ङ, [ ŋ ]
ण, [ ɳ ]
म, [ m ]
स, [ s ]
ऊ, [ uː ]
च, [ ʧ ]
त, [ t ]
ह, [ h ]
ऍ, [ e ]
छ, [ ʧʰ ]
थ, [ tʰ ]
ळ, [ ɭ ]
ओ, [ o ]
ज, [ ʤ ]
द, [ d ]
ँ, [ ŋ ]
झ, [ ʤʰ ]
ध, [ dʰ ]
