က,k
ဇ,z
မ,m
သ,θ
အာ,a
အော,ɔ
ယ,j
ဟ,h
ဣ,ʔ
အါ,a
အေါ,ɔ
ခ,kʰ
တ,t
ယှ,h
အ,ʔ
ထ,tʰ
ယျ,h
ျ,j
ဥ,wə
အီ,i
ဂ,g
ဒ,d
ရ,r
ြ,r
ဦ,ʔ
န,n
ရှ,h
ွ,w
အူ,u
င,ŋ
ပ,p
လ,l
အေ,i
စ,s
ဖ,pʰ
အဲ,e
ဆ,sʰ
ဗ,b
ဝ,w
