ཀ, [ka]
ཏ, [ta]
ཙ, [tsa]
ར, [ra]
ཁ, [kʰa]
ཐ, [tʰa]
ཚ, [tsʰa]
ལ, [la]
ག, [ga]
ད, [da]
ཛ, [dza]
ཤ, [ɕ⁠a]
ང, [ŋa]
ན, [na]
ཝ, [wa]
ས, [sa]
ཅ, [ʨa]
པ, [pa]
ཞ, [ʑa]
ཧ, [ha]
ཆ, [ʨʰa]
ཕ, [pʰa]
ཟ, [za]
ཨ, [a]
ཇ, [ʥa]
བ, [ba]
འ, [a]
ཉ, [ɲa]
མ, [ma]
ཡ, [ja]
