A, [a]
H, [h]
-n, [˜-]
sh, [ɕ]
B, [b]
I, [i]
Ɲ, [ɲ]
T, [t]
C, [ʨ]
J, [ʥ]
Ŋ, [ŋ]
U, [u]
D, [d]
K, [k]
O, [o]
W, [w]
E, [e]
kh, [x]
Ɔ, [ɔ]
Y, [j]
Ɛ, [ɛ]
L, [l]
P, [p]
Z, [z]
F, [f]
M, [m]
R, [r]
G, [g]
N, [n]
S, [s]
