A, [ɑ]
G, [g]
L, [l]
S, [s]
Ā, [ɑː]
Ģ, [ɟ]
Ļ, [ʎ]
Š, [ʃ]
B, [b]
H,  [x]
M, [m]
T, [t]
C, [ts]
I, [i]
N, [n]
U, [u]
Č, [ʧ]
Y, [ɨ]
Ņ, [ɲ]
Ū, [uː]
D, [d]
Ī, [iː]
O, [o]
V, [v]
E, [e]
J, [j]
Ō, [oː]
Z, [z]
Ē, [eː]
K,  [k]
P, [p]
Ž, [ʒ]
F, [f]
Ķ,  [c]
R, [r]
