A, [a]
J, [j/x/ʝ/ɟ]
R, [ɾ/r]
dd, [ɟ]
B, [b/β]
K,  [k]
S, [s̺]
ll, [ʎ]
C, [k/s̻]
L, [l]
T, [t]
rr, [r]
D, [d/ð]
M, [m]
U, [u/u̯]
ts, [ts̺]
E, [e]
N, [n]
V, [b/β]
tt, [c]
F, [f]
Ñ, [ɲ]
W, [u̯]
tx, [ʧ]
G, [g/ɣ]
O, [o]
X, [ʃ]
tz, [ts̻]
H, [Ø/h]
P, [p]
Y, [i/i̭]
I, [i/i̭]
Q, [k]
Z, [s̻]
