A, [a/ɒ]
J, [ʤ]
P, [p]
B, [b]
K, [k]
Pw, [pf]
Bw, [bv]
L, [l]
R, [r]
C, [ʧ]
M, [m]
T, [t]
D, [d]
N, [n]
U, [u/ʊ]
E, [e/ɛ]
Ny, [ɲ]
W, [w]
G, [g]
Ŋ, [ŋ]
Y, [j]
I, [i/ɪ]
O, [o/ɔ]
