ڊ, [ʈ]
ض, [t]
ك, [kː]
د, [tː]
صٜ, [ɭ]
ق, [kː]
ي, [j]
خ, [kː]
ص, [s]
ڣ, [p]
و, [ʋ]
ح, [h]
ش, [ʂ/ʃ]
ف, [f/p]
ه, [h]
َو, [aʊ̯]
چ, [tʃː]
س, [s]
غ, [k]
ݧ, [ɲ]
َي, [aɪ̯]
ج, [dʒ/tʃ]
ز, [z]
ࢳ, [ŋ]
ڹ, [ɳ]
ُ, [u]
ُو, [uː]
ث, [s]
ڔ, [ɾ̪]
ع, [ʔ]
ن, [n̪/n]
ٗ, [o]
ٗو, [oː]
ت, [tː]
ر, [r]
ظ, [z/s]
م, [m]
ِ, [i]
ِي, [iː]
ب, [p]
ذ, [z/s]
ط, [tː]
ل, [l]
ࣣ, [e]
ࣣي, [eː]
ا, [ʔ]
ڍ, [ʈː]
ۻ, [ɻ]
ࢴ, [k]
َ, [a]
آ, [aː]
