অ,  o ]
ক, [ ɑː ]
কা,  e ]
কি, [ i ]
কী,  o ]
কু, [ u ]
কূ, [ ri ]
কৃ,  æ ]
কে, [ oj ]
কৈ, [ o ]
কো, [ ow ]
কৌ, kau
