ᄀ, [k/g]
ᄇ, [p/b]
ᄎ, [ʧʰ]
ᄁ, [k*]
ᄈ, [p*]
ᄏ, [kʰ]
ᄂ, [n]
ᄉ, [s]
ᄐ, [tʰ]
ᄃ, [t/d]
ᄊ, [s*]
ᄑ, [pʰ]
ᄄ, [t*]
ᄋ, [Ø/-ŋ]
ᄒ, [h]
ᄅ, [l/r]
ᄌ, [ʧ/ʤ]
ᄆ, [m]
ㅉ, [ʧ*]
