𐌰, [a/aː]
𐌹, [i/iː]
𐍂, [r]
𐌰𐌻𐌻𐌰𐌹, [b/v]
𐌺, [k]
𐍃, [s]
𐌲, [g/ŋ/x]
𐌻, [l]
𐍄, [t]
𐌳, [d/ð]
𐌼, [m]
𐍅, [w/y]
𐌴, [e/eː]
𐌽, [n]
𐍆, [f]
𐌵, [kʷ]
𐌾, [j]
𐍇, [kʰ]
𐌶, [z]
𐌿, [u/uː]
𐍈, [ʍ]
𐌷, [h/x]
𐍀, [p]
𐍉, [o/oː]
𐌸, [θ]
𐍁, 𐍊
