А,a
Дә,dʷ
М,m
Ҳә,ħʷ
Б,b
Е,ɛ
К,k
Н,n
Ҭ,tʰ
В,v
О,o
Шь,ʃ
Г,g
Жь,ʒ
Қ,kʰ
П,p
Гь,g
Жә,ʒʷ
Ҧ,pʰ
Ф,f
Ҕ,ʁ
З,z
Ҟ,q
Р,r
Х,χ
Ӡ,dz
С,s
Д,d
Л,l
Т,t
Ҳ,ħ
Џь,dʒ
