А, [a]
Й, [j]
У, [ʊ]
Ю, [ju]
Б, [b]
К,  [k]
Ў, [w]
Я, [jɑ]
В, [v]
Л, [l]
Ф, [f]
ʼ, [ɣ]
М, [m]
Х, [x]
Д, [d]
Н,  [n]
Ц, [ts]
дз, [ǳ]
ле, [ʎɛ]
E, [jɛ]
О, [o]
Ч, [ʧ]
дзь, [dʑ]
лё, [ʎɒ]
Ё, [jo]
П, [p]
Ш, [ʃ]
дж, [ʤ]
лю, [ʎu]
Ж, [ʒ]
Р, [r]
Ы, [ɨ]
зь, [ʑ]
нь, [ɲ]
З, [z]
С, [s]
Ь, [ʲ]
ль, [ʎ]
сь, [ɕ]
І, [i]
Т, [t]
Э, [e]
ля, [ʎɑ]
ць, [ʨ]
