က, [k]
ထ, [tʰ]
ဝ, [w]
အ, [ə]
အၢ်, [˩]
ခ, [kʰ]
ဒ, [d]
သ, [θ]
အါ, [a]
ဂ, [gʰ]
န, [n]
ဟ, [h]
အံ, [i]
အာ်, [˥ʔ]
ဃ, [x]
ပ, [p]
အ, [ø]
င, [ŋ]
ဖ, [pʰ]
ဧ, [ɦ]
အု, [y]
အး, [˦ʔ]
စ, [s]
ဘ, [b]
အူ, [u]
ဆ, [sʰ]
မ, [m]
အ့, [e]
အၣ်, [˥˩]
ၡ, [ʃ]
ယ, [j]
အဲ, [ɛ]
ည, [ɲ]
ရ, [r]
အိ, [o]
အၤ, [˩˧]
တ, [t]
လ, [l]
အီ, [ɔ]
