அ, [ ʌ ]
எ, [ e ]
ப, [ aː ]
ஏ, [ eː ]
பா, [ i ]
ஐ, [ ʌy ]
பி, [ iː ]
ஒ, [ o ]
பீ, ɯ ]
ஓ, [ oː ]
பு, [ uː ]
ஔ, [ ʌʋ ]
பூ, p
