A, [a]
O, [o]
à, [ʌ]
Ch, [ʧ]
P, [p]
è, [ɛ]
E, [e]
S, [s]
ë, [ə]
H, [h]
Sh, [ʃ]
ì, [ɪ]
I, [i]
T, [t]
ò, [ɔ]
K, [k]
U, [u]
ù, [ʊ]
L, [l/ɬ]
W, [w]
s'h, [s.h]
M, [m]
X, [x]
N, [n]
Y, [j]
