А,a
Д,d
К,kʰ
М,m
СС,sː
Б,b
Л,l
Н,n
Т,tʰ
Хь,ç
Е,e
О,o
ТӀ,t
ХӀ,ħ
ЧӀ,t̠ʃ̰
Г,g
Ж,ʒ
П,pʰ
У,u
З,z
ПӀ,p
Х,x
Ш,ʃ
Гь,h
И,i
Р,r
Й,j
КӀ,k
С,s
Ъ,ʔ
