ཀ, [ ka ]
[, [ tɕa ]
[, [ ta ]
[, [ pa ]
[, [ tsa ]
[, [ wa ]
[, [ ɦa ]
[, [ ha ]
ཁ, [ kʰa ]
[, [ tɕʰa ]
[, [ tʰa ]
[, [ pʰa ]
[, [ tsʰa ]
[, [ ʑa ]
[, [ ja ]
[, [ ɕa ]
[, [ ʔ ]
ག, da
wa, [ ga ]
[, [ dʑa ]
[, [ da ]
[, [ ba ]
[, [ tsa ]
[, [ za ]
[, [ ra ]
[, [ sa ]
ང, [ ŋa ]
[, [ ɲa ]
[, [ na ]
[, [ ma ]
[, [ la ]
