a, [a]
oo, [oː]
b, [p]
y, [j]
aa, [aː]
ɔ, [ɨ]
c, [tʃ]
’, [ʔ]
e, [e]
ɔ, [ɨː]
d, [t]
ee, [eː]
u, [u]
g, [k]
ɛ, [ə]
uu, [uː]
m, [m]
ɛɛ, [eː]
n, [n]
i, [i]
r, [ɾ]
ii, [iː]
t, [t]
o, [o]
w, [w]
