a, [a/ə]
o, [o]
b, [b̥]
l, [l]
sch, [ʃ]
ä, [ɛ]
ö, [œ]
c, [k/ɡ̊]
m, [m]
t,  [t]
à, [ɑ/ɑˑ]
u, [ʊ]
ch, [ç/x]
n, [n/ŋ]
v, [v]
e, [e/eː/ə]
ü, [y]
d, [d̥]
ng, [ŋ]
w, [ʋ]
é, [ɛ]
ù, [u]
f, [f]
p, [p]
x, [ks]
ei, [ai]
g, [ɡ̊]
pf, [pf]
y, [j]
i, [ɪ]
h, [h]
q, [k]
z, [ts]
ie, [iː]
j, [j]
r, [ɾ]
k, [k]
s, [s]
