خ, [x]
ﺽ, [z]
ڴ, [ŋ]
ﺡ, [h]
ﺹ, [s]
گ, [g]
چ, [ʧ]
ش, [ʃ]
ک, [k]
ﺀ, [ʔ]
ج, [ʤ]
س, [s]
ق, [gʲ]
ى, [j/i/e/ɯ]
ﺙ, [s]
ژ, [ʒ]
ف, [f]
ه, [h]
ت, [t]
ز, [z]
غ, [ɣ]
و, [v/o/œ/u/y]
پ, [p]
ر, [r]
ع, [ʔ]
ن, [n]
ب, [b]
ﺫ, [z]
ﻅ, [z]
م, [m]
آ\ا, [ɑ/æ/Ø]
د, [d]
ﻁ, [t]
ل, [l]
